Postcode,Suburb,Weather_Conditions,Field_Staff,Outage_StartTime,Outage_EndTime,Outage_Hours,Day,DOW,Month
2477,Bangalow,Rain,10,2024-09-17 21:18:00,2024-09-18 01:04:44.083293,3.7789120259591753,17,Tuesday,September
2470,Lismore,High Temperature,14,2023-12-19 07:58:00,2023-12-19 12:10:24.243426,4.2067342848718345,19,Tuesday,December
2469,South Grafton,Storms,6,2023-12-02 05:42:00,2023-12-02 09:45:24.487913,4.056802198006455,2,Saturday,December
2470,Lismore,Fine_Conditions,14,2024-02-21 11:39:00,2024-02-21 15:29:17.520366,3.838200101671463,21,Wednesday,February
2476,Ocean Shores,Rain,4,2024-02-23 18:22:00,2024-02-24 03:28:01.561747,9.100433818644598,23,Friday,February
2489,Grafton,Storms,4,2024-06-03 03:16:00,2024-06-03 08:42:23.920250,5.439977847302212,3,Monday,June
2441,Wauchope,Fine_Conditions,14,2023-11-06 17:19:00,2023-11-06 20:07:56.021961,2.8155616559265817,6,Monday,November
2475,Mullumbimby,Storms,4,2023-12-26 02:46:00,2023-12-26 09:38:54.760040,6.881877788865302,26,Tuesday,December
2491,Casino,Fine_Conditions,11,2024-07-03 15:21:00,2024-07-03 19:11:38.017897,3.843893860239464,3,Wednesday,July
2483,Lennox Head,Fine_Conditions,4,2024-06-16 12:14:00,2024-06-16 14:57:54.338961,2.7317608225637797,16,Sunday,June
2463,Yamba,Rain,13,2024-09-10 08:01:00,2024-09-10 12:05:16.124933,4.071145814803832,10,Tuesday,September
2460,Grafton,High Temperature,11,2024-07-07 14:17:00,2024-07-07 19:37:20.670552,5.339075153336569,7,Sunday,July
2476,Ocean Shores,Rain,4,2023-12-31 23:44:00,2024-01-01 08:42:22.719040,8.972977511229915,31,Sunday,December
2456,Maclean,Storms,8,2023-11-17 23:06:00,2023-11-18 04:53:28.524398,5.7912567771135715,17,Friday,November
2443,Lake Cathie,Rain,9,2024-05-21 18:58:00,2024-05-21 22:30:29.694978,3.541581938364541,21,Tuesday,May
2474,Byron Bay,High Temperature,6,2024-03-18 09:55:00,2024-03-18 15:37:24.807128,5.70689086897552,18,Monday,March
2440,Bonny Hills,Fine_Conditions,7,2024-04-01 02:31:00,2024-04-01 07:06:50.186770,4.597274102748509,1,Monday,April
2488,Stanthorpe,Rain,15,2024-04-03 07:12:00,2024-04-03 10:37:52.891721,3.43135881146987,3,Wednesday,April
2470,Lismore,Rain,14,2024-03-01 06:18:00,2024-03-01 11:25:32.450384,5.125680662232044,1,Friday,March
2454,Yamba,Fine_Conditions,8,2024-05-23 23:44:00,2024-05-24 03:47:01.578614,4.050438503863026,23,Thursday,May
2450,Coffs Harbour,Fine_Conditions,10,2024-02-24 20:46:00,2024-02-25 00:21:13.519269,3.5870886857677684,24,Saturday,February
2498,Macksville,High Temperature,13,2024-08-23 02:22:00,2024-08-23 05:35:04.786562,3.217996267161344,23,Friday,August
2442,North Haven,Rain,9,2023-10-10 17:09:00,2023-10-10 23:26:19.327902,6.288702195089731,10,Tuesday,October
2478,Wardell,High Temperature,7,2024-06-06 18:37:00,2024-06-07 00:21:00.034790,5.733342997139775,6,Thursday,June
2479,Coraki,Storms,5,2024-03-10 17:45:00,2024-03-10 22:59:17.868071,5.238296686380155,10,Sunday,March
2442,North Haven,Storms,9,2023-11-23 01:57:00,2023-11-23 08:43:47.942427,6.779984007540074,23,Thursday,November
2442,North Haven,Fine_Conditions,9,2024-04-25 01:57:00,2024-04-25 05:16:29.551810,3.324875502803397,25,Thursday,April
2481,Alstonville,High Temperature,3,2023-12-25 12:00:00,2023-12-25 17:56:41.634174,5.9448983817346885,25,Monday,December
2456,Maclean,Storms,8,2024-06-29 04:16:00,2024-06-29 11:58:17.515634,7.704865453865374,29,Saturday,June
2454,Yamba,Storms,8,2024-09-06 10:54:00,2024-09-06 15:38:01.363222,4.7337120060066,6,Friday,September
2480,Evans Head,High Temperature,10,2024-08-10 08:38:00,2024-08-10 14:53:31.094199,6.258637277503222,10,Saturday,August
2457,Iluka,High Temperature,10,2023-10-14 22:14:00,2023-10-15 04:48:16.668243,6.571296734052289,14,Saturday,October
2479,Coraki,Fine_Conditions,5,2024-05-05 23:02:00,2024-05-06 04:05:45.374905,5.062604140395055,5,Sunday,May
2483,Lennox Head,Storms,4,2024-08-11 01:13:00,2024-08-11 07:20:44.898339,6.1291384276337375,11,Sunday,August
2487,Tenterfield,Storms,4,2023-11-03 04:07:00,2023-11-03 11:12:42.975476,7.095270965496154,3,Friday,November
2440,Bonny Hills,Fine_Conditions,7,2024-02-14 05:59:00,2024-02-14 10:10:37.964196,4.193878943388315,14,Wednesday,February
2464,Bellingen,High Temperature,5,2024-01-26 03:15:00,2024-01-26 10:51:17.937179,7.6049825496697245,26,Friday,January
2463,Yamba,Fine_Conditions,13,2024-02-05 05:05:00,2024-02-05 08:55:19.110675,3.838641854068952,5,Monday,February
2460,Grafton,Storms,11,2024-01-18 07:07:00,2024-01-18 11:36:36.511579,4.493475438596184,18,Thursday,January
2498,Macksville,High Temperature,13,2024-02-12 12:46:00,2024-02-12 16:16:44.471442,3.5123531782821775,12,Monday,February
2480,Evans Head,Rain,10,2024-02-11 07:43:00,2024-02-11 13:36:26.574211,5.890715058674918,11,Sunday,February
2495,Urunga,High Temperature,5,2023-10-06 13:55:00,2023-10-06 22:56:55.236315,9.032010087454301,6,Friday,October
2496,Bellingen,High Temperature,3,2024-02-01 23:28:00,2024-02-02 07:52:21.779948,8.406049985652341,1,Thursday,February
2465,Nambucca Heads,High Temperature,7,2024-05-31 04:21:00,2024-05-31 11:59:41.561475,7.644878187390246,31,Friday,May
2490,Lawrence,Storms,9,2024-04-01 09:40:00,2024-04-01 15:32:30.309569,5.875085991416109,1,Monday,April
2452,Woolgoolga,Fine_Conditions,13,2024-08-21 05:35:00,2024-08-21 09:33:36.614254,3.9768372928823594,21,Wednesday,August
2484,Byron Bay,High Temperature,7,2024-08-11 08:34:00,2024-08-11 15:04:36.950892,6.5102641365965574,11,Sunday,August
2480,Evans Head,Storms,10,2024-09-07 13:31:00,2024-09-07 18:56:10.716593,5.419643498152269,7,Saturday,September
2444,Port Macquarie,Storms,13,2024-08-26 23:17:00,2024-08-27 02:10:03.682205,2.8843561681282064,26,Monday,August
2485,Nimbin,Fine_Conditions,3,2024-02-17 04:17:00,2024-02-17 08:30:10.329950,4.219536097234738,17,Saturday,February
2440,Bonny Hills,Fine_Conditions,7,2023-12-10 18:02:00,2023-12-10 21:07:15.009069,3.087502519062178,10,Sunday,December
2484,Byron Bay,Rain,7,2023-10-23 05:10:00,2023-10-23 11:00:26.144609,5.840595724768046,23,Monday,October
2463,Yamba,Rain,13,2024-05-29 13:23:00,2024-05-29 16:27:26.088713,3.0739135312746506,29,Wednesday,May
2485,Nimbin,Rain,3,2023-10-25 01:20:00,2023-10-25 08:19:46.539084,6.996260856583043,25,Wednesday,October
2479,Coraki,Rain,5,2024-09-28 07:41:00,2024-09-28 12:23:59.120655,4.716422404299205,28,Saturday,September
2469,South Grafton,High Temperature,6,2024-05-13 02:13:00,2024-05-13 06:58:07.109442,4.751974844947259,13,Monday,May
2479,Coraki,Rain,5,2024-09-10 21:39:00,2024-09-11 03:01:04.112445,5.36780901244213,10,Tuesday,September
2496,Bellingen,Rain,3,2023-12-11 08:16:00,2023-12-11 16:16:55.813361,8.015503711385165,11,Monday,December
2440,Bonny Hills,High Temperature,7,2024-09-22 15:17:00,2024-09-22 21:23:51.144592,6.114206831042972,22,Sunday,September
2484,Byron Bay,Rain,7,2023-12-05 17:12:00,2023-12-06 00:21:36.842499,7.160234027402729,5,Tuesday,December
2485,Nimbin,Fine_Conditions,3,2023-10-10 15:46:00,2023-10-10 17:36:08.133984,1.8355927733436672,10,Tuesday,October
2442,North Haven,High Temperature,9,2024-08-26 08:32:00,2024-08-26 15:15:10.712956,6.719642487645258,26,Monday,August
2499,South West Rocks,Fine_Conditions,12,2024-02-25 18:25:00,2024-02-25 21:06:40.282948,2.694523041190792,25,Sunday,February
2477,Bangalow,High Temperature,10,2024-06-05 02:54:00,2024-06-05 07:24:15.800367,4.504388990737389,5,Wednesday,June
2454,Yamba,High Temperature,8,2024-09-18 06:46:00,2024-09-18 11:52:27.587787,5.1076632742201005,18,Wednesday,September
2444,Port Macquarie,Storms,13,2024-02-21 00:32:00,2024-02-21 04:16:45.932060,3.7460922387753572,21,Wednesday,February
2483,Lennox Head,High Temperature,4,2023-12-11 15:23:00,2023-12-12 00:09:38.752018,8.777431116168172,11,Monday,December
2494,Toormina,High Temperature,5,2024-01-12 09:18:00,2024-01-12 16:16:03.825040,6.96772917784063,12,Friday,January
2460,Grafton,Rain,11,2024-03-24 06:11:00,2024-03-24 09:59:11.025836,3.8030627322712918,24,Sunday,March
2495,Urunga,Rain,5,2024-09-14 03:51:00,2024-09-14 09:47:53.335219,5.948148672080932,14,Saturday,September
2470,Lismore,Rain,14,2024-01-12 06:45:00,2024-01-12 10:26:33.118353,3.692532875908917,12,Friday,January
2454,Yamba,Storms,8,2024-02-07 00:22:00,2024-02-07 08:08:14.568153,7.77071337574941,7,Wednesday,February
2500,Wollongong,High Temperature,14,2024-09-05 04:57:00,2024-09-05 10:39:11.644377,5.70323454913634,5,Thursday,September
2483,Lennox Head,Storms,4,2023-12-14 08:59:00,2023-12-14 13:45:27.286624,4.774246284431524,14,Thursday,December
2500,Wollongong,Storms,14,2024-01-17 19:00:00,2024-01-18 00:44:26.590050,5.740719458363404,17,Wednesday,January
2457,Iluka,Fine_Conditions,10,2024-06-09 06:14:00,2024-06-09 07:40:01.130640,1.433647399993859,9,Sunday,June
2463,Yamba,Storms,13,2024-07-11 00:46:00,2024-07-11 03:41:59.971531,2.9333254254156618,11,Thursday,July
2484,Byron Bay,Rain,7,2024-03-25 16:47:00,2024-03-25 20:41:22.843549,3.906345430402032,25,Monday,March
2489,Grafton,Fine_Conditions,4,2024-08-07 10:30:00,2024-08-07 14:53:20.289184,4.388969217882416,7,Wednesday,August
2498,Macksville,Rain,13,2024-05-07 05:32:00,2024-05-07 10:56:49.854083,5.4138483564048165,7,Tuesday,May
2457,Iluka,High Temperature,10,2023-10-08 09:44:00,2023-10-08 13:56:00.578557,4.200160710369891,8,Sunday,October
2472,Casino,Storms,13,2024-02-17 01:58:00,2024-02-17 07:45:02.869534,5.784130426099685,17,Saturday,February
2495,Urunga,Storms,5,2024-06-01 14:08:00,2024-06-01 20:33:20.143656,6.422262126732251,1,Saturday,June
2486,Kyogle,High Temperature,15,2024-05-19 17:53:00,2024-05-19 22:41:26.501818,4.807361616222765,19,Sunday,May
2476,Ocean Shores,Fine_Conditions,4,2024-02-07 13:40:00,2024-02-07 17:26:17.750807,3.771597446451293,7,Wednesday,February
2482,Ballina,Storms,9,2024-05-21 04:50:00,2024-05-21 11:22:40.089080,6.544469188852378,21,Tuesday,May
2466,Macksville,Storms,11,2023-11-03 05:04:00,2023-11-03 09:30:34.660362,4.442961211612789,3,Friday,November
2452,Woolgoolga,Storms,13,2024-05-01 01:12:00,2024-05-01 04:38:50.874154,3.4474650428719515,1,Wednesday,May
2480,Evans Head,Rain,10,2024-04-10 19:13:00,2024-04-10 23:38:22.981048,4.423050291135478,10,Wednesday,April
2463,Yamba,Storms,13,2023-10-16 17:23:00,2023-10-16 20:32:29.184903,3.1581069173866525,16,Monday,October
2487,Tenterfield,High Temperature,4,2024-01-20 17:09:00,2024-01-20 22:53:53.927773,5.748313270392056,20,Saturday,January
2482,Ballina,Fine_Conditions,9,2024-01-30 15:33:00,2024-01-30 19:07:51.544604,3.5809846121949014,30,Tuesday,January
2478,Wardell,Fine_Conditions,7,2024-05-24 01:05:00,2024-05-24 05:58:40.518693,4.8945885259488495,24,Friday,May
2496,Bellingen,Storms,3,2024-07-22 15:44:00,2024-07-22 21:47:13.345037,6.053706954625562,22,Monday,July
2479,Coraki,Storms,5,2024-04-19 14:33:00,2024-04-19 20:33:26.286269,6.007301741485266,19,Friday,April
2481,Alstonville,High Temperature,3,2023-11-12 09:15:00,2023-11-12 17:49:35.280931,8.576466925214097,12,Sunday,November
2465,Nambucca Heads,Fine_Conditions,7,2024-09-20 02:31:00,2024-09-20 06:45:56.402470,4.249000686103083,20,Friday,September
2488,Stanthorpe,High Temperature,15,2024-01-19 21:21:00,2024-01-20 01:44:41.099769,4.39474993583716,19,Friday,January
2465,Nambucca Heads,Storms,7,2024-04-13 15:33:00,2024-04-13 23:44:42.507261,8.195140905948088,13,Saturday,April
2495,Urunga,High Temperature,5,2023-10-29 00:01:00,2023-10-29 07:49:49.921699,7.813867138517377,29,Sunday,October
2441,Wauchope,Fine_Conditions,14,2024-08-24 15:55:00,2024-08-24 18:26:57.188274,2.5325522982132656,24,Saturday,August
2480,Evans Head,Rain,10,2024-01-29 20:12:00,2024-01-30 01:22:34.492477,5.176247910384209,29,Monday,January
2482,Ballina,Storms,9,2024-04-19 06:45:00,2024-04-19 13:55:45.175448,7.179215402234056,19,Friday,April
2470,Lismore,Storms,14,2023-12-14 23:08:00,2023-12-15 02:07:10.824905,2.986340251400631,14,Thursday,December
2483,Lennox Head,Rain,4,2024-08-24 00:17:00,2024-08-24 04:46:09.895709,4.486082141448898,24,Saturday,August
2497,Nambucca Heads,Fine_Conditions,10,2024-05-22 01:58:00,2024-05-22 04:22:59.809871,2.416613852969192,22,Wednesday,May
2481,Alstonville,Storms,3,2024-05-04 12:47:00,2024-05-04 21:23:06.318271,8.601755075241421,4,Saturday,May
2469,South Grafton,Rain,6,2023-12-07 04:45:00,2023-12-07 09:25:09.216396,4.6692267767718745,7,Thursday,December
2475,Mullumbimby,Rain,4,2024-09-30 01:31:00,2024-09-30 07:06:20.095281,5.588915355920136,30,Monday,September
2493,Sawtell,Storms,6,2024-05-05 12:23:00,2024-05-05 19:54:16.547408,7.521263169003859,5,Sunday,May
2500,Wollongong,Storms,14,2023-12-08 19:17:00,2023-12-08 22:33:35.174585,3.276437384597863,8,Friday,December
2450,Coffs Harbour,High Temperature,10,2024-06-03 08:32:00,2024-06-03 15:34:55.978399,7.048882888726067,3,Monday,June
2494,Toormina,Storms,5,2024-06-08 02:44:00,2024-06-08 07:27:19.290454,4.722025126135295,8,Saturday,June
2485,Nimbin,Storms,3,2024-04-26 05:36:00,2024-04-26 10:27:56.477030,4.8656880638366,26,Friday,April
2500,Wollongong,High Temperature,14,2024-05-06 23:17:00,2024-05-07 04:22:28.870120,5.091352811211377,6,Monday,May
2495,Urunga,Rain,5,2024-05-15 10:10:00,2024-05-15 16:10:28.419724,6.007894367904443,15,Wednesday,May
2450,Coffs Harbour,High Temperature,10,2023-12-14 18:34:00,2023-12-15 01:10:28.298873,6.6078607980592,14,Thursday,December
2486,Kyogle,Storms,15,2023-11-29 18:41:00,2023-11-29 21:47:17.417755,3.1048382652941564,29,Wednesday,November
2443,Lake Cathie,Storms,9,2023-11-09 22:00:00,2023-11-10 02:44:24.352239,4.740097844085925,9,Thursday,November
2474,Byron Bay,Storms,6,2024-07-27 11:07:00,2024-07-27 15:07:05.145552,4.001429320125557,27,Saturday,July
2469,South Grafton,Fine_Conditions,6,2024-05-30 11:56:00,2024-05-30 17:04:49.982692,5.147217414465582,30,Thursday,May
2483,Lennox Head,Storms,4,2023-12-31 05:34:00,2023-12-31 10:13:21.973330,4.6561037028016585,31,Sunday,December
2479,Coraki,Fine_Conditions,5,2024-08-09 09:07:00,2024-08-09 15:22:20.301814,6.255639392711239,9,Friday,August
2492,Coffs Harbour,Fine_Conditions,13,2024-09-10 11:56:00,2024-09-10 14:14:10.530828,2.302925229900886,10,Tuesday,September
2444,Port Macquarie,Fine_Conditions,13,2024-01-30 14:59:00,2024-01-30 19:05:28.076394,4.107798998434744,30,Tuesday,January
2443,Lake Cathie,Storms,9,2023-10-30 18:54:00,2023-10-31 02:03:45.347895,7.162596637463968,30,Monday,October
2477,Bangalow,Fine_Conditions,10,2023-10-25 10:10:00,2023-10-25 12:53:45.320698,2.7292557493248317,25,Wednesday,October
2493,Sawtell,Fine_Conditions,6,2023-12-23 19:15:00,2023-12-23 23:39:19.463264,4.405406462106476,23,Saturday,December
2443,Lake Cathie,High Temperature,9,2024-03-12 08:39:00,2024-03-12 12:56:31.372521,4.2920479226203545,12,Tuesday,March
2450,Coffs Harbour,Rain,10,2024-04-24 03:31:00,2024-04-24 08:06:36.826927,4.593563035266918,24,Wednesday,April
2454,Yamba,High Temperature,8,2024-08-16 14:48:00,2024-08-16 19:11:40.719658,4.394644349347271,16,Friday,August
2485,Nimbin,Rain,3,2024-03-22 04:34:00,2024-03-22 12:07:38.519341,7.5606998168592225,22,Friday,March
2492,Coffs Harbour,Rain,13,2024-01-08 21:57:00,2024-01-09 01:36:21.362202,3.6559339451039854,8,Monday,January
2499,South West Rocks,High Temperature,12,2024-01-12 04:16:00,2024-01-12 09:03:11.039170,4.786399769560993,12,Friday,January
2498,Macksville,Fine_Conditions,13,2023-11-24 04:30:00,2023-11-24 07:27:28.970915,2.9580474764511115,24,Friday,November
2490,Lawrence,Fine_Conditions,9,2024-06-11 04:18:00,2024-06-11 05:59:00.769048,1.6835469578678925,11,Tuesday,June
2444,Port Macquarie,Storms,13,2024-05-26 19:03:00,2024-05-26 22:34:40.918355,3.528032876431071,26,Sunday,May
2486,Kyogle,Rain,15,2023-11-13 02:14:00,2023-11-13 04:56:22.002655,2.706111848643614,13,Monday,November
2444,Port Macquarie,Fine_Conditions,13,2024-05-19 06:16:00,2024-05-19 07:55:32.337873,1.6589827425550294,19,Sunday,May
2466,Macksville,Storms,11,2024-06-11 06:11:00,2024-06-11 09:34:59.047287,3.3997353574311817,11,Tuesday,June
2469,South Grafton,Storms,6,2024-08-26 21:49:00,2024-08-27 05:13:22.413201,7.406225889140635,26,Monday,August
2444,Port Macquarie,High Temperature,13,2024-01-23 01:55:00,2024-01-23 06:49:28.422159,4.907895044301552,23,Tuesday,January
2496,Bellingen,High Temperature,3,2023-10-30 21:29:00,2023-10-31 04:48:07.573130,7.31877031383081,30,Monday,October
2466,Macksville,Fine_Conditions,11,2023-10-11 21:27:00,2023-10-12 02:22:06.367555,4.918435431962198,11,Wednesday,October
2474,Byron Bay,Rain,6,2024-09-03 23:57:00,2024-09-04 07:11:24.185708,7.240051585497117,3,Tuesday,September
2496,Bellingen,High Temperature,3,2024-01-22 00:07:00,2024-01-22 05:58:23.993843,5.856664956261812,22,Monday,January
2494,Toormina,High Temperature,5,2024-04-23 10:26:00,2024-04-23 15:33:51.909793,5.131086053657743,23,Tuesday,April
2460,Grafton,Rain,11,2024-09-11 02:27:00,2024-09-11 06:43:57.520277,4.2826445212515445,11,Wednesday,September
2486,Kyogle,Rain,15,2023-12-14 15:36:00,2023-12-14 19:42:04.573416,4.10127039324199,14,Thursday,December
2485,Nimbin,Fine_Conditions,3,2024-07-03 01:03:00,2024-07-03 06:42:17.948121,5.654985589216233,3,Wednesday,July
2496,Bellingen,Fine_Conditions,3,2024-08-16 15:10:00,2024-08-16 20:53:40.827918,5.728007755117197,16,Friday,August
2463,Yamba,Storms,13,2024-06-12 20:01:00,2024-06-13 00:24:06.722735,4.3852007596881215,12,Wednesday,June
2475,Mullumbimby,Storms,4,2024-05-25 13:02:00,2024-05-25 21:32:04.839177,8.501344215827874,25,Saturday,May
2485,Nimbin,High Temperature,3,2024-02-13 07:59:00,2024-02-13 13:17:19.758566,5.305488490644333,13,Tuesday,February
2465,Nambucca Heads,High Temperature,7,2023-12-13 19:11:00,2023-12-14 01:28:34.315206,6.292865335015314,13,Wednesday,December
2464,Bellingen,Fine_Conditions,5,2024-04-15 06:04:00,2024-04-15 09:00:42.806980,2.945224161159013,15,Monday,April
2484,Byron Bay,High Temperature,7,2023-10-19 23:17:00,2023-10-20 05:39:23.635984,6.3732322179072245,19,Thursday,October
2472,Casino,Storms,13,2024-03-03 06:43:00,2024-03-03 11:08:46.563175,4.429600881847406,3,Sunday,March
2465,Nambucca Heads,Storms,7,2023-11-02 22:53:00,2023-11-03 04:27:41.840847,5.578289124267147,2,Thursday,November
2493,Sawtell,Storms,6,2024-07-22 11:03:00,2024-07-22 19:35:08.542254,8.53570618179935,22,Monday,July
2444,Port Macquarie,Storms,13,2023-10-23 21:23:00,2023-10-24 02:49:28.856084,5.441348912275562,23,Monday,October
2456,Maclean,Storms,8,2024-09-09 23:55:00,2024-09-10 05:16:59.604959,5.366556933114132,9,Monday,September
2485,Nimbin,Storms,3,2024-08-23 02:22:00,2024-08-23 07:44:26.047429,5.3739020635974315,23,Friday,August
2452,Woolgoolga,Fine_Conditions,13,2024-06-27 22:13:00,2024-06-27 23:25:08.449184,1.2023469955376629,27,Thursday,June
2497,Nambucca Heads,Storms,10,2024-07-16 15:30:00,2024-07-16 19:06:43.886662,3.6121907394161856,16,Tuesday,July
2489,Grafton,High Temperature,4,2024-09-22 02:27:00,2024-09-22 08:05:31.586803,5.642107445154657,22,Sunday,September
2454,Yamba,Fine_Conditions,8,2024-09-11 12:22:00,2024-09-11 17:17:57.699824,4.932694395446449,11,Wednesday,September
2492,Coffs Harbour,Rain,13,2024-08-01 20:34:00,2024-08-02 01:16:54.182150,4.715050597348919,1,Thursday,August
2500,Wollongong,Fine_Conditions,14,2023-12-03 19:31:00,2023-12-03 23:13:41.359325,3.711488701507715,3,Sunday,December
2454,Yamba,Rain,8,2024-07-20 06:30:00,2024-07-20 13:05:42.255410,6.595070947193657,20,Saturday,July
2456,Maclean,Storms,8,2024-09-06 21:39:00,2024-09-07 01:38:01.682588,3.9838007188585154,6,Friday,September
2442,North Haven,High Temperature,9,2023-10-20 02:45:00,2023-10-20 07:10:08.808794,4.419113553761474,20,Friday,October
2475,Mullumbimby,Rain,4,2024-01-29 13:49:00,2024-01-29 18:54:46.877466,5.0963548515367165,29,Monday,January
2456,Maclean,Fine_Conditions,8,2024-06-05 09:52:00,2024-06-05 11:29:09.805207,1.6193903352141323,5,Wednesday,June
2465,Nambucca Heads,Storms,7,2023-10-27 22:29:00,2023-10-28 02:58:02.432080,4.4840089112092185,27,Friday,October
2495,Urunga,Fine_Conditions,5,2024-03-08 11:00:00,2024-03-08 12:56:07.703761,1.9354732670481758,8,Friday,March
2442,North Haven,Rain,9,2024-09-12 03:00:00,2024-09-12 10:12:09.862150,7.20273948610826,12,Thursday,September
2499,South West Rocks,High Temperature,12,2024-06-21 03:08:00,2024-06-21 09:37:27.069914,6.490852754021186,21,Friday,June
2460,Grafton,High Temperature,11,2024-01-01 20:19:00,2024-01-02 01:06:10.167331,4.786157592055196,1,Monday,January
2497,Nambucca Heads,Fine_Conditions,10,2024-08-10 05:20:00,2024-08-10 10:30:48.340560,5.180094600033859,10,Saturday,August
